date,area_name,area_code,retail_and_recreation_percent_change_from_baseline,grocery_and_pharmacy_percent_change_from_baseline,parks_percent_change_from_baseline,transit_stations_percent_change_from_baseline,workplaces_percent_change_from_baseline,residential_percent_change_from_baseline
2/15/2020,City of London,E09000001,-5,-9,-12,-11,NA,NA
2/16/2020,City of London,E09000001,-1,-21,-23,-13,NA,NA
2/17/2020,City of London,E09000001,-3,-2,4,-1,-4,NA
2/18/2020,City of London,E09000001,-2,-2,-1,-2,-2,NA
2/19/2020,City of London,E09000001,-7,-4,5,0,-4,NA
2/20/2020,City of London,E09000001,-7,-7,-11,-3,-3,NA
2/21/2020,City of London,E09000001,-3,-2,5,-3,-4,NA
2/22/2020,City of London,E09000001,4,5,11,-3,NA,NA
2/23/2020,City of London,E09000001,8,1,-4,-13,NA,NA
2/24/2020,City of London,E09000001,-7,-12,-13,-1,2,NA
2/25/2020,City of London,E09000001,-1,1,-5,-1,3,NA
2/26/2020,City of London,E09000001,0,-3,1,-3,6,NA
2/27/2020,City of London,E09000001,0,-4,-9,-1,4,NA
2/28/2020,City of London,E09000001,-2,-6,-12,0,0,NA
2/29/2020,City of London,E09000001,11,3,0,-4,NA,NA
3/1/2020,City of London,E09000001,22,14,9,10,NA,NA
3/2/2020,City of London,E09000001,-2,0,-25,-4,4,NA
3/3/2020,City of London,E09000001,-5,-1,-11,-7,3,NA
3/4/2020,City of London,E09000001,-6,-5,-7,-5,4,NA
3/5/2020,City of London,E09000001,-14,-17,-25,-2,1,NA
3/6/2020,City of London,E09000001,-4,2,5,-5,3,NA
3/7/2020,City of London,E09000001,2,4,12,-8,NA,NA
3/8/2020,City of London,E09000001,2,-4,-4,-17,NA,NA
3/9/2020,City of London,E09000001,-10,-5,-8,-8,-6,NA
3/10/2020,City of London,E09000001,-14,-5,-17,-10,-2,NA
3/11/2020,City of London,E09000001,-17,-8,-10,-15,-5,NA
3/12/2020,City of London,E09000001,-22,-11,-23,-20,-15,NA
3/13/2020,City of London,E09000001,-29,-15,-30,-27,-23,NA
3/14/2020,City of London,E09000001,-26,-15,-27,-28,NA,NA
3/15/2020,City of London,E09000001,-32,-24,-35,-38,NA,NA
3/16/2020,City of London,E09000001,-40,-20,-42,-40,-38,NA
3/17/2020,City of London,E09000001,-62,-40,-60,-56,-54,NA
3/18/2020,City of London,E09000001,-73,-46,-65,-66,-62,NA
3/19/2020,City of London,E09000001,-78,-47,-74,-70,-63,NA
3/20/2020,City of London,E09000001,-82,-54,-77,-73,-64,NA
3/21/2020,City of London,E09000001,-86,-53,-86,-78,NA,NA
3/22/2020,City of London,E09000001,-85,-67,-86,-81,NA,NA
3/23/2020,City of London,E09000001,-87,-70,-82,-79,-76,NA
3/24/2020,City of London,E09000001,-94,-79,-88,-87,-80,NA
3/25/2020,City of London,E09000001,-95,-82,-88,-90,-85,NA
